datetime,info,latitude,longitude
2004,IED CIV Other 1 CIV WIA,"34,20027924","70,17637634"
2004,IED  Other,"34,46416092","70,45471191"
2004,IED  Other,"32,54415894","69,20973206"
2004,IED  Other,"34,79861069","71,1213913"
2004,IED  Other,"31,5574894","66,94917297"
2004,IED  Other,"33,51610947","69,15471649"
2004,IED ANA Other 3 ANA KIA 3 ANA WIA,"32,9636116","65,48194122"
2004,IED  Other,"34,42250061","70,45749664"
2004,IED CIV Other 5 CIV KIA,"32,92026901","69,30473328"
2004,IED  Other,"34,63360977","69,71749878"
2004,IED ANP Other 4 ANP KIA 5ANP WIA,"32,67139053","65,48249817"
2004,IED  Other,"34,74250031","71,0661087"
2004,IED CF Other 1 CF WIA,"34,2536087","70,32917023"
2004,IED  Other,"33,80361176","69,84887695"
2004,IED CF Other 2 CF KIA 1 CF WIA,"32,64276886","65,46138763"
2004,IED  Other,"32,85528183","68,44946289"
2004,IED CF Other 1 CF WIA,"34,80693817","71,11694336"
2004,IED CIV Other 5 CIV KIA 6 CIV WIA,"34,80083084","71,1138916"
2004,IED CF Other 3 CF WIA,"31,62915993","65,79360199"
2004,IED  Other,"33,32971954","69,76083374"
2004,IED  Other,"31,59250069","65,47360992"
2005,IED CF Other 1 CF KIA 3 CF WIA,"34,82804871","71,12249756"
2005,IED  Other,"33,34582901","70,09028625"
2005,IED FOUND/CLEARED  Other,"33,27056122","69,85694122"
2005,IED  Other,"33,17028046","68,78943634"
2005,IED ANA Other 1 ANA KIA 3 ANA WIA,"35,28388977","71,54000092"
2005,IED  Other,"34,94250107","70,98139191"
2005,IED ANA Other 1 ANA KIA 12 ANA WIA,"32,61666107","65,49278259"
2005,IED CIV Other 1 CIV KIA,"32,82471848","65,42888641"
2005,IED ANP Other 13 ANP KIA 1ANP WIA,"30,97583961","66,51083374"
2005,IED  Other,"31,7002697","65,70639038"
2005,IED  Jalalabad Airfield,"34,4316597","70,45583344"
2005,IED ANP Other 3ANP WIA,"34,79972076","71,12055969"
2005,IED  Other,"33,19361115","69,26389313"
2005,IED CF Other 1 CF WIA,"34,82416916","71,12110138"
2005,IED ANA Other 3 ANA WIA,"35,14749908","71,39472198"
2005,MINE FOUND/CLEARED  Other,"31,47110939","65,79110718"
2005,IED CF Other 1 CF WIA,"31,69750023","65,70388794"
2005,IED  Other,"31,54888916","65,84916687"
2005,IED  Other,"33,00194168","69,49054718"
2005,IED  Other,"31,59444046","64,37499237"
2005,IED  Other,"34,54277039","69,22805786"
2005,IED ANA Other 6 ANA WIA,"34,82278061","71,12055969"
2005,IED CF Regak 2 CF WIA,"32,96083832","65,5147171"
2005,IED  Other,"34,36832047","70,31916809"
2005,IED  Other,"34,36832047","70,31916809"
2005,IED ANP CIV Other 1 CIV KIA 1 ANP KIA,"30,99694061","66,39333344"
2005,IED  Other,"34,43666077","70,45471191"
2005,IED  Other,"31,57943916","65,82389069"
2005,IED  Other,"31,56888008","65,37055206"
2005,IED  Other,"34,80389023","71,11499786"
2005,IED CIV Other 1 CIV KIA 3 CIV WIA,"32,62527847","65,45498657"
2005,IED  Other,"32,01860809","67,02832794"
2005,IED  Other,"32,96221924","69,35973358"
2005,IED  Other,"34,7694397","71,10334015"
2005,IED  Other,"32,1072197","66,90862274"
2005,IED  Other,"32,21860886","67,31861115"
2005,IED  Other,"35,16278076","71,41750336"
2005,IED CF Other 1 CF KIA 2 CF WIA,"31,6875","65,61943817"
2005,IED  Other,"31,65805054","65,61776733"
2005,IED  Other,"32,21221924","66,10500336"
2005,IED  Other,"34,19554901","70,16194153"
2005,IED ANP Asadabad 2 ANP KIA 2ANP WIA,"34,94607925","71,04898834"
2005,IED  Ghazni,"33,89793015","68,66352844"
2005,IED ANP  3 ANP KIA,"31,97487068","65,96826172"
2005,IED CF Kandahar 1 CF WIA,"31,62562943","65,7352829"
2005,IED,"32,21632004","66,10134125"
2005,IED  Khowst City,"33,33181","69,85637665"
2005,IED  Kandahar,"31,63111877","65,73596191"
2005,IED FOUND/CLEARED  Khowst City,"33,37228012","69,73314667"
2005,IED  Jalalabad Airfield,"34,23694992","70,18054962"
2005,IED  Asadabad,"34,94205856","71,07053375"
2005,IED  Asadabad,"35,17147064","71,45839691"
2005,IED ANA Qalat 2 ANA KIA 5 ANA WIA,"32,03250122","66,95881653"
2005,IED,"33,78847122","69,13070679"
2005,IED  Chamkani,"33,80392075","69,84960175"
2005,IED,"31,08856964","64,16375732"
2005,IED CF Kandahar 2 CF WIA,"31,53821945","65,47104645"
2005,IED ANA Kandahar 4 ANA WIA,"32,24045181","66,10372162"
2005,IED CF Kandahar 1 CF WIA,"32,16794968","66,0951767"
2005,IED CF Shinkay 1 CF KIA 2 CF WIA,"31,9769001","67,494133"
2005,IED  Jalalabad Airfield,"34,87549973","70,11168671"
2005,IED ANA Spin Buldak 2 ANA WIA,"31,04704094","66,36469269"
2005,IED CF Asadabad 3 CF WIA,"34,83285141","71,12457275"
2005,IED  Jalalabad Airfield,"34,84400177","70,10471344"
2005,IED  Kabul,"34,54401016","69,26351929"
2005,IED CF Khowst City 3 CF WIA,"33,36769867","69,7457962"
2005,IED CIV FOB Gereshk 2 CIV KIA 5 CIV WIA,"31,81666946","64,56667328"
2005,IED ANA Lashkar Gah 1 ANA KIA,"31,57575035","64,34784698"
2005,IED CF ANA Lwara 2 CF KIA 1 CF WIA 1 ANA WIA,"32,92124939","69,31015778"
2005,(EXPLOSIVE HAZARD) IED EXPLOSION RPT  (RCIED) TF DEVIL : 0 INJ/DAM,"34,40121841","70,29141998"
2005,MEDEVAC ANA FOB Tiger II 4 ANA WIA,"32,19226837","66,09838867"
2005,IED ANP Deh Chopan 1ANP WIA,"32,80281067","67,15122986"
2005,IED  FOB Nangarhar,"35,15074921","70,83336639"
2005,IED  Jalalabad Airfield,"33,62823868","70,12020874"
2005,IED  Qalat,"31,99278069","66,9910965"
2005,IED CF KAF 4 CF WIA,"31,61849022","65,61019135"
2005,IED CF ANP Ghazni 4 CF WIA 1ANP WIA,"33,34854889","68,43969727"
2005,IED  Deh Rawod,"32,68915939","65,45855713"
2005,IED ANP FOB Salerno 1ANP WIA,"33,43593979","70,0697937"
2005,IED CF Gardez  3 CF WIA,"33,80673981","69,77789307"
2005,IED ANA Qalat 1 ANA KIA 2 ANA WIA,"32,35042953","66,75250244"
2005,IED ANA Asadabad 2 ANA WIA,"35,16474915","71,44922638"
2005,IED  Chamkani,"33,8158493","69,89684296"
2005,IED  Kandahar,"31,70438004","65,70435333"
2005,IED  Lashkar Gah,"31,5978508","64,36300659"
2005,IED  Lashkar Gah,"31,57543945","64,34648132"
